公司代码,年度,被购买方名称,股权取得时点,股权取得成本,股权取得比例,股权取得方式,购买日,购买日的确定依据,购买日至期末被购买方的收入,购买日至期末被购买方的净利润
300300,2014,浙江搜道网络技术有限公司,2014.8.28,707,51,股权受让与增资,2014.8.28,协议约定及工商变更,4214699.39,2004214
300299,2014,北京通畅,2014.1.31,44000000,100,现金购买,2014.1.31,取得被购买方实际控制权,40477746.26,8317084.81
300298,2015,北京三诺建恒糖尿病医院有限责任公司,2014.10.8,2812800,80,购买,2015.2.4,支付股权购买款,12085100,-2515000
300297,2015,广州华炜科技有限公司,2015.6.1,390000000,100,发行股份及支付现金,2015.6.1,完成股权转让登记并控制,180836938.76,36000732.31
300296,2015,"PLANAR SYSTEMS,INC.",2015.11.27,"1,029,652,70",100,非同一控制下企业合并,2015.11.27,对被并购企业经营和财务政策拥有决策权，已支付全部股权转让款，且工商登记变更已完成,N/A,N/A
300296,2015,广州励丰文化科技股份有限公司,2015.7.8,641750000,100,非同一控制下企业合并,2015.7.8,对被并购企业经营和财务政策拥有决策权，已支付全部股权转让款，且工商登记变更已完成,297023119.28,80217703.53
300296,2015,北京金立翔艺彩科技有限公司,2015.7.23,240248250,99,非同一控制下企业合并,2015.7.23,对被并购企业经营和财务政策拥有决策权，已支付全部股权转让款，且工商登记变更已完成,102309159.41,32345333.34
300296,2014,深圳市金达照明有限公司,2014.5.6,202500000,100,非同一控制下企业合并,2014.5.6,实际控制,156070004.88,28397543.91
300296,2014,利亚德（欧洲）有限公司,2014.6.1,3342500,80,非同一控制下企业合并,2014.6.1,实际控制,130940562.59,15300425.93
300296,2015,品能光电技术（上海）有限公司,2015.7.27,27500000,55,非同一控制下企业合并,2015.7.27,对被并购企业经营和财务政策拥有决策权，已支付全部股权转让款，且工商登记变更已完成,12443615.45,1977147.93
300295,2015,蚌埠大数据网络传媒有限公司,2015.4.1,1510000,51,现金购买,2015.4.1,全部股权转让款,1133588.94,12774.95
300294,2015,南京新百药业有限公司,2015.10.14,620006200,100,发行股份、现金支付,2015.11.30,取得控制权,18556557.64,2448189.93
300292,2015,互众广告（上海）有限公司,2015.6.11,1350000000,100,发行股份及支付现金,2015.6.11,交易实施完成,202224954.05,68669062.91
300292,2014,北京国都互联科技有限公司,2014.9.17,550000000,100,发行股份及现金收购,2014.9.17,交易实施完成,204287854.24,21349831.53
300290,2015,海米健信息技术有限公司,2015.10.31,127500000,51,收购股权,2015.10.31,取得控制权,27277330.69,19346206.14
300289,2014,德赛产品,2014.9.18,18908900,31,受让股权,2014.10.1,实际控制,20817420.41,2186597.08
300289,2014,德赛系统,2014.9.23,175881695.28,25,受让股权,2014.10.1,实际控制,55485297.02,18776230.27
300288,2014,广州春姿商贸有限公司,2014.12.24,N/A,100,现金,2014.12.24,实际控制,N/A,N/A
300288,2014,贵阳动视云科技有限公司,2014.1.14,5100000,51,现金,2014.12.14,实际控制,N/A,-2763284.99
300288,2014,广州启生信息技术有限公司,2014.12.24,650000000,100,现金,2014.12.24,实际控制,N/A,1117523.81
300287,2015,厦门精图信息技术有限公司 ,2015.12.23,1000000000,100,发行股份并支付现金购买,2015.12.31,控制权的转移点,N/A,N/A
300286,2014,上海嘉塘电子发展有限公司,2014.1.31,19200000,60,现金购买,2014.1.31,公司合并协议已获得股东大会等内部权力机构批准；购买方已支付了大部分购买价款；被购买方股东会、董事会成员已改选，能控制被购买方的主要经济活动。,39487719.83,647976.71
300284,2015,南京博来城市规划设计研究有限公司,2015.7.31,16420900,51,购买股权,2015.7.31,财产交割完成,3774150.92,944691.31
300284,2015,北京中铁瑞威基础工程有限公司,2015.3.31,56599633.6,85,购买股权,2015.3.31,财产交割完成,49921987.51,-28120528.73
300283,2014,温州海和热控复合材料有限公司,2014.11.25,50016480,80,货币出资,2014.11.25,取得控制权,3085605.04,-768988.26
300282,2014,深圳市旺鑫精密工业有限公司,2014.8.18,984400000,92,现金及发行股票购买,2014.8.18,对被并购企业经营和财务政策拥有决策权,568610928.26,13146529.07
300280,2014,江苏人人发机器制造有限公司,2014.11.30,9000000,80,收购,2014.11.30,股权转让款支付,2174829.02,-573845.52
300278,2014,上海德梅柯汽车装备制造有限公司,2014.8.31,629999997.06,100,股权投资,2014.8.31,实质控制,219323863.72,38119679.37
300278,2015,"DearbornMid-WestCompany,LLC",2015.2.28,331603471.65,100,股权投资,2015.2.28,实质控制,815055877.04,4427532.16
300278,2015,W&HSystemsAcquisitionCorp.,2015.12.1,99149438.57,100,股权投资,2015.12.1,实质控制,29044071.8,-685308.75
300276,2014,湖北三丰小松自动化仓储设备有限公司,2014.1,7437500,70,现金购买,2014.1,取得控制权,350306.39,-2079819.89
300275,2014,梅安森元图（北京）软件技术有限公司,2014.4.30,23000000,51.22,非同一控制下企业合并,2014.4.30,控制权转移,3212403.19,-5994898.08
300273,2015,广州卫软,2015.4.30,18400000,92,收购股权,2015.4.30,已签订合同，支付对价,3171128.09,802492.11
300273,2015,益源信通,2015.8.31,7000000,70,收购股权,2015.8.31,已签订合同，支付对价,0,-599835.59
300272,2015,上海增靓生物科技有限公司,2015.1.23,66509103.7,100,股权转让,2015.1.31,取得控制权,N/A,N/A
300272,2015,上海惠元医院有限公司,2015.4.8,6000000,60,股权转让,2015.4.1,取得控制权,1418146.98,-2350993.14
300272,2015,浙江润鑫电器设备有限公司,2015.12.1,165000000,52.38,股权转让,2015.12.1,取得控制权,48632516.31,12256235.64
300271,2015,上海浦东华宇信息技术有限公司,2015.4.13,14722500,9.815,现金,N/A,N/A,N/A,N/A
300271,2015,北京万户网络技术有限公司,2015.5.26,319700000,100,现金,2015.5.31,对被购买企业的经营和财务政策拥有决策权,53100071.17,25670365.52
300271,2015,上海浦东华宇信息技术有限公司,2015.1.21,138277500,90.185,现金、发行股份,2016.1.31,对被购买企业的经营和财务政策拥有决策权,107396356.75,23452709.47
300269,2014,分时传媒,2014.4.29,859999865.32,100,现金和发行股份,2014.4.29,工商变更,327332249.34,89534349.13
300269,2015,友拓公关,2015.3.10,459999930,100,现金和发行股份,2015.3.10,工商变更,99314465.54,49388132.67
300269,2015,易事达,2015.3.6,488949924,100,现金和发行股份,2015.3.6,工商变更,269808031.2,44981833.79
300267,2014,中山市凯博思淀粉材料科技有限公司,2013.9.1,19998000,33.33,现金收购,N/A,N/A,N/A,N/A
300267,2014,湖南洞庭柠檬酸化学有限公司,2014.6.1,25000000,51,现金收购,2014.6.1,控制权发生转移,21388505.59,2784804.91
300267,2014,中山市凯博思淀粉材料科技有限公司,2013.9.1,21296067.2,36.65,现金收购,2014.9.1,控制权发生转移,N/A,-3654198.09
300267,2014,长沙正阳药用胶囊有限公司,2014.3.1,52000000,100,现金收购,2014.3.1,控制权发生转移,29942076.89,-6784265.04
300266,2014,浙江疏浚,2014.3.31,363724338.12,95.09,协议转让,2014.3.31,拥有控制权,236051913.68,22449716.73
300266,2015,银江环保,2015.6.30,47105900,51,协议转让,2015.6.30,资产交割完成,23135152.92,174880.78
300263,2015,洛阳高新四丰电子材料有限公司,2015.1.31,93000000,100,现金支付,2015.1.31,取得控制权,53644795.26,5491019.37
300261,2014,江苏建农植物保护公司,2014.1.1,100000000,75,转让及增资,2014.1.1,实际控制,127318801.38,9579426.45
300254,2014,杭州恩氏基因技术发展有限公司,2014.12.24,100000000,80,非同一控制下企业合并,2014.12.24,取得控制权,N/A,N/A
300254,2015,四川仟源中药饮片有限公司,2015.4.30,18673616,52,货币资金购购买,2015.4.30,支付完成且办理工商变更手续,10196285.34,-1757639.96
300254,2015,武汉仟源电子商务有限公司,2015.11.30,40800,51,货币资金购购买,2015.11.30,支付完成且办理工商变更手续,N/A,-249432.18
300253,2014,北京宇信网景信息技术有限公司,2014.7.1,30000000,60,并购,2014.7.1,实际控制,44007811.19,7446285.48
300253,2015,天津津微首佳有限公司,2015.9.1,63800000,60,并购,2015.9.1,拥有政策决策权，并支付装让款,17294768.09,4505959.92
300253,2015,杭州东联软件有限公司,2015.4.1,40000000,100,并购,2015.4.1,拥有政策决策权，并支付装让款,16492109.2,4184479.85
300253,2015,浙江万鼎信息技术有限公司,2015.3.1,24500000,90,并购,2015.3.1,拥有政策决策权，并支付装让款,7631444.9,-1676722.85
300252,2015,"PC Specialties-China,LLC",2015.4.7,11060,100,现金,2015.4.1,取得控制权,4628155.2,N/A
300252,2015,东莞瀚宇电子有限公司,2015.8.7,5000,100,现金,2015.8.1,取得控制权,12524223.07,-6750270.23
300252,2015,常州安泰诺特种印制板有限公司,2015.5.21,8551.67,35,现金,2015.6.1,取得控制权,142660976.68,13804005.62
300251,2014,广州蓝弧文化传播有限公司,2014.7.31,176460000,50.8,购买,2014.8.1,取得控制权,41001728.42,25067888.38
300251,2014,杭州热锋网络科技有限公司,2014.7.18,208400000,51,购买,2014.7.1,取得控制权,24573995.64,20838488.85
300251,2015,广州仙海网络科技有限公司,2015.11.24,118876692.96,100,购买,2015.12.1,取得控制权,2140291.25,-41046.11
300250,2015,博瑞得科技公司,2015.2.2,349999886.99,100,协议转让,2015.2.2,"根据本公司2014年第一次临时股东大会决议，本公司通过非公开发行股份方式受让雷果等持有的博瑞得科技公司100%股权，该事项于2014年12月15日经中国证券监督管理委员会《关于核准杭州初灵信息技术股份有限公司向雷果等发行股份购买资产并募集配套资金的批复》(证监许可[2014]1356号文)核准。博瑞得科技公司于2015年1月4日办妥工商变更登记手续，本公司于2015年2月2日在中国证券登记结算有限责任公司深圳分公司办理了本次非公开发行股份的股权登记手续，将2015年2月2日确定为购买日",100458710.53,38689116.05
300249,2014,江苏亿金公司,2014.12.17,185706456.27,59.22,购买及增资,2014.12.31,取得控制权,0,0
300248,2015,上海树维信息科技有限公司,2015.9.21,199000000,100,支付现金,2015.10.1,已达到实际控制，并已办理工商变更,32857724.52,9255365.07
300248,2015,北京迪科远望科技有限公司,2015.8.13,320000000,100,发行股份及支付现金,2015.9.1,已达到实际控制，并已办理工商变更,58909793.06,15669049.97
300247,2015,安徽久工健业有限责任公司,2015.9.30,810000000,100,发行股份及支付现金,2015.9.30,实际控制,63168635.27,23362802.45
300247,2014,深圳市卓先实业有限公司,2014.11.30,108000000,100,发行股份及支付现金,2014.11.30,股东大会通过,14060810.01,1944590.48
300244,2014,浙江韩诺健康管理有限公司,2013.8.15,11250000,45,设立出资,N/A,N/A,N/A,N/A
300244,2014,浙江韩诺健康管理有限公司,2014.12.15,10000000,15.71,增资,2014.12.15,相关协议经批准，支付大部分收购款项及完成工商变更手续。,N/A,-183859.27
300240,2014,"淮安华东物流",2014.9.30,4204000,23,现金,2014.9.30,工商登记完成,N/A,N/A
300240,2014,"淮安华东物流",2014.6.16,4916348.73,29,现金,2014.9.19,工商登记完成,18735.85,-1157944.94
300238,2015,杭州明兴生物科技有限公司,2015.7.10,13580635,67.75,现金购买,2015.7.10,工商手续变更日期,884496.12,-2378138.59
300237,2014,赛石集团,2014.8.31,600000000,100,发行股份并支付现金,2014.8.31,实际控制,494458054.67,63608456.54
300234,2015,杭州天润公司,2015.10.30,40000000,100,支付现金,2015.10.30,股权交割完成,N/A,-523612.64
300233,2014,上海天宸药业有限公司,2014.7.28,50300000,100,购买,2014.7.28,工商变更且资产交接,0,-2554051.25
300232,2014,蓝普科技 ,2014.11.24,54400000,80,受让股权,2014.11.24,股权变更,32011078.72,6277942.51
300230,2015,青岛英东模塑科技集团有限公司,2015.5.25,482000000,100,现金及发行股份购买股权,2015.5.25,取得控制权,517516498.68,35395555.39
300230,2015,上海欣巴自动化科技有限公司,2015.11.3,10000000,51.01,认购新增,2015.11.3,取得控制权,2692307.35,174144.54
300230,2015,北京三五汽车配件有限公司,2015.11.12,6.49,100,现金购买,2015.11.12,取得控制权,12784069.84,113857.07
300230,2015,塔塑（香港）有限公司,2015.5.31,9953920,80,现金及发行股份购买股权,2015.5.31,取得控制权,N/A,-1358489.87
300229,2014,北京天行网安信息技术有限公司,2014.6.20,600000000,100,购买,2014.8.31,资产交付及过户,66066471.4,30055717.37
300229,2015,广州科韵信息股份有限公司,2015.12.29,34406861.83,51,购买,2015.12.29,取得控制,41461219.02,3931138.84
300228,2015,长隆装备,2015.1.1,27500000,55,支付现金,2015.1.1,股权转让协议日及公司章程,26664729.51,"3,788,011.48"
300225,2015,上海阿德勒新材料科技有限公司,2015.3.31,19992000,51,增资,2015.3.31,工商变更完毕,20714281.1,-10604484.97
300222,2014,永乾机电,2014.4.15,526000000,100,现金,2014.4.1,取得控制权,218102712.69,42770822.8
300222,2014,乾承机械,2014.12.2,28500000,57,现金,2014.12.1,取得控制权,5915232.5,1530937.16
300220,2014,武汉落地,2014.1.1,13000000,60,购买,2014.1.2,完成工商变更,10282871.77,-2929396.04
300219,2014,东莞市良友五金制品有限公司,2014.8.28,28000000,51,外购,2014.8.31,取得实际控制权时点,37648185.61,6489082.05
300219,2014,深圳市斯迈得光电子有限公司,2014.10.20,170000000,100,外购,2014.10.31,取得实际控制权时点,50985853.79,5001952.2
300216,2015,湖南乐福地医药包材料科技有限公司,2015.6.30,556190000,100,控股合并,2015.6.30,股权控制,169478937.86,24219169.44
300216,2014,湖南宏灏基因生物科技有限 公司,2014.6.30,59600000,52.57,控股合并,2014.6.30,股权控制,23138461.54,16379597.33
300213,2014,深圳市航通智能技术有限公司,2014.11.30,208000000,100,发行证券及支付现金,2014.11.30,证监会批准并控制,28819812.39,9634080.48
300212,2015,Infologic Pte  Ltd,2015.4.1,5484930,60,现金,2015.1.3,已经控制了被购买方的财务和经营政策，享有相应的收益并承担相应的风险。,7851742.7,699193.92
300212,2015,厦门世纪恒深科技工程有限公司,2015.12.10,77000000,35,现金,2015.12.1,已经控制了被购买方的财务和经营政策，享有相应的收益并承担相应的风险。,34163509.31,14592098.32
300209,2015,现代商友软件集团有限公司,2015.4.30,60790000,100,支付现金,2015.4.30,发行权益性证券,0,-27899.93
300209,2015,现代商友软件集团有限公司,2015.4.30,149210000,75,支付现金,2015.4.30,控制权转移,123662210.99,24850049.96
300208,2015,恒顺印尼中苏镍矿公司,2015.7.28,N/A,80,货币资金购买,2015.9.1,股权买卖合同执行完毕并办理好财产交接手续,N/A,N/A
300208,2015,恒顺新加坡圣赢投资有限公司,2015.7.28,N/A,100,N/A,2015.9.1,股权买卖合同执行完毕并办理好财产交接手续,N/A,N/A
300207,2014,东莞锂威,2014.11.25,166530800,51,购买及增资,2014.11.25,支付股权转让款并完成工商变更,18946369.79,N/A
300206,2015,东莞博识生物科技有限公司,2015.10.30,125735400,51,购买,2015.10.30,实际取得控制权,N/A,289113.2
300204,2015,北京德丰瑞生物技术有限公司,2015.9.23,50000000,60,增资,2015.9.30,获取控制权,N/A,-4152003.81
300203,2015,"宁波顺程市政工程有限公司",2015.9.22,7000000,100,股权转让,2015.9.22,完成过户变更登记手续,N/A,N/A
300203,2015,重庆三峡环保（集团）有限公司,2015.12.29,168000000,60,协议转让,2015.12.29,完成过户变更登记手续,N/A,N/A
300203,2014,武汉中红检测科技有限公司,2014.10.21,5000000,65,协议转让,2014.10.21,完成过户变更手续,1046394.02,461098.26
300203,2015,北京鑫佰利科技发展有限公司,2015.4.9,165000000,70,协议转让,2015.4.9,完成过户变更登记手续,81699965.02,22017366.77
300203,2014,深圳市东深电子股份有限公司,2014.1.9,162000000,90,协议转让,2014.1.9,完成过户变更手续,136824034.68,21892529.32
300203,2015,LSE Mointors B.V.,2015.1.2,7.35,25,股权转让,2015.1.2,完成过户变更登记手续,863024.88,-147899.23
300203,2014,宁波大通永维机电工程有限公司,2014.12.11,22000000,55,协议转让,2014.12.11,完成过户变更手续,4131047.97,1970859.12
300201,2015,深圳市巨能伟业技术有限公司,2015.1.21,69367480.3,100,N/A,2015.1.21,完成产权过户,150926394.57,20811582.2
300201,2015,上海海伦哲国际消防装备有限公司,2015.2.21,10170578.15,100,N/A,2015.2.21,完成产权过户,3634188.05,198598.92
300199,2015,甘肃成纪生物药业有限公司,2015.2.1,1320000000,100,现金及发行股份,2015.2.1,取得实际控制权,242500360.17,114826974.44
300198,2015,福建万润新能源科技有限公司,2015.3.27,47250000,15,股权受让,2016.3.26,取得控制权,N/A,N/A
300198,2015,福建万润新能源科技有限公司,2015.3.26,160650000,51,增资扩股,2016.3.26,取得控制权,239393366.51,73817305.31
300198,2014,上海耀华  ,2014.12.1,12500000,51,购买,2014.12.8,取得控制权,4094907.42,634317.85
300198,2014,惠州广塑,2014.6.1,9731500,51,购买,2014.6.1,取得控制权,9841521.55,-3407526.03
300197,2015,广州环发环保工程有限公司,2015.8.3,96000000,80,购买,2015.8.3,工商变更，并支付股权转让款,33352989.12,9390733.26
300196,2015,常州天马集团有限公司（原建材253厂）,2015.3.26,117468200,28,现金,2015.3.31,所有权转移，对价支付,486111445.85,28592896.15
300194,2015,福安药业集团宁波天衡制药有限公司,2015.4.23,570000000,100,发行股份及支付现金,2015.4.30,实际控制,235108291.66,38096434.73
300193,2014,艾尔克莱福特技术有限公司,2014.7.1,123809.4,60,现金购买,2014.7.1,取得控制权,198876.56,-2752275.89
300190,2014,杭州能源环境工程有限公司,2014.8.31,459999894.46,100,现金支付和发行股份,2014.9.5,工商变更,1006864636.46,8671434.18
300190,2014,常州大维环境科技有限公司,2014.7.31,25900000,51,现金支付,2014.8.1,工商变更,0,-5248.56
300190,2015,敦化市中能环保电力有限公司,2015.8.31,8000000,80,现金支付,2015.8.31,支付股权对价,0,-155525.23
300188,2015,江苏税软,2015.12.22,543199986.88,100,非公开发行股份购买资产,2015.12.31,对被并购企业经营和财务政策拥有决策权，已支付全部股权转让款，且工商登记变更已完成,N/A,N/A
300188,2015,武汉大千,2015.7.2,33150000,51,现金,2015.7.1,对被并购企业经营和财务政策拥有决策权，已支付全部股权转让款，且工商登记变更已完成,16116670.98,7448973.14
300187,2015,"Integrated Science&Technology,In",2015.6.30,1528400,51,股权转让,2015.6.30,控制权转移,2994872.39,-1357828.98
300185,2015,常州东方机电成套有限公司,2015.6.18,25443813.17,70,自有资金收收购,2015.6.30,取得控制权,8341880.3,2543896.2
300184,2014,深圳市鼎芯无限科技有限公司,2014.8.5,186549982,65,购买,2014.8.5,实际控制,231345394.05,15030140.59
300183,2015,上海东软载波微电子有限公司,2015.6.30,415857286,100,发行股份及支付现金,2015.6.30,取得被购买方实际控制权,96186089.9,15913792.92
300183,2014,青岛龙泰天翔通信科技有限公司,2014.5.31,19000000,51.35,现金购买,2014.5.31,控制权转移,7172930.34,1200227.22
300182,2015,北京中视精彩影视文化有限公司,2015.7.6,910800029.86,100,购买,2015.7.6,资产交割，发行股份已完成,267407393.78,95848991.34
300182,2015,东阳瑞吉祥影视传媒有限公司,2015.7.6,1169999966.26,100,购买,2015.7.6,资产交割，发行股份已完成,216710719.5,123492183.4
300181,2015,佐力百草中药（及其下属全资公司）,2015.9.16,130044000,51.01,支付现金,2015.9.16,实际控制,34735541.82,9026991.03
300181,2014,青海珠峰虫草业有限公司,2014.7.24,150000000,51,支付现金,2014.7.24,实际控制权,31600126.9,6513820.8
300181,2014,浙江凯医药有限公司,2014.7.24,24000000,65,支付现金,2014.7.24,实际控制权,29624405.82,1089549.61
300178,2014,成都八千翼网络科技有限公司,2014.8.31,7620000,60,收购,2014.8.31,实际控制,4553742,946024.89
300178,2015,重庆新干线国际旅行社有限公司,2015.3.31,20220000,60,收购,2015.3.31,达到控制条件，已拥有与股权相关的报酬和风险,214133921.15,8325600.37
300178,2014,西安市腾邦华圣商旅服务有限公司,2013.12.31,3360000,60,收购,2013.12.31,实际控制,3700757.69,-64400.81
300178,2015,天津市腾邦达哲国际旅行社有限公司,2015.4.30,12240000,60,收购,2015.4.30,达到控制条件，已拥有与股权相关的报酬和风险,28107395.73,6974494.48
300178,2014,福州美嘉旅行社有限公司,2014.11.30,1600000,100,收购,2014.11.30,实际控制,77604.09,-204605.47
300178,2014,厦门腾邦电子商务有限公司,2014.1.31,9200000,60,收购,2014.1.31,实际控制,14146385.49,2177683.78
300178,2014,新疆腾邦电子商务有限公司,2014.9.30,7070000,95,收购,2014.9.30,实际控制,727958.12,-194391.05
300178,2015,深圳腾邦保险经纪有限公司,2015.6.30,14214590,100,收购,2015.6.30,达到控制条件，已拥有与股权相关的报酬和风险,187.5,-147944.89
300178,2014,南京腾邦国际商务旅游有限公司,2014.1.31,4848000,60,收购,2014.1.31,实际控制,15654244.69,1594783.15
300178,2015,山东腾邦国际商务有限公司,2015.4.30,3060000,60,收购,2015.4.30,达到控制条件，已拥有与股权相关的报酬和风险,4726027.48,1299177.35
300178,2015,厦门腾邦商务管理有限公司,2014.12.31,2821500,55,收购,2014.12.31,达到控制条件，已拥有与股权相关的报酬和风险,4137671.37,1060724.45
300178,2015,杭州泛美航空国际旅行,2015.3.31,19294880,60,收购,2015.3.31,达到控制条件，已拥有与股权相关的报酬和风险,52631691.65,5181328.25
300177,2014,南京声宏毅霆网络科技有限公司,2014.12.30,1020000,100,支付现金,2014.12.31,取得控制权,N/A,N/A
300177,2015,广州比逊电子科技有限公司,2015.1.31,11750770,51,收购合并,2015.1.31,取得实际控制权,2158974.36,-915937.59
300177,2015,天津腾云智航科技有限公司,2015.11.30,10000000,55,收购合并,2015.11.30,取得实际控制权,0,25071.94
300177,2015,Geosolution  HoldingAB,2015.10.31,6428817.96,60,收购合并,2015.10.31,取得实际控制权,3530681.04,-1672172.96
300177,2015,郑州联睿电子科技有限公司,2015.12.31,18314600,51,收购合并,2015.12.31,取得实际控制权,0,0
300175,2015,太原市德蓝达科技有限公司,2015.12.29,0,100,现金购买,2015.12.29,完成工商变更,0,0
300171,2014,上海典范医疗科技有限公司,2014.1.13,30000000,51.72,支付现金,2014.1.13,已控制被购买方,10245678.16,2788521.93
300171,2014,上海英华制药机械有限公司,2014.6.30,5000000,100,支付现金,2014.6.30,已控制被购买方,2005811.97,-8079.95
300171,2014,上海海蒂电子科技有限公司,2014.6.30,1000000,100,支付现金,2014.6.30,已控制被购买方,1003505.99,-77087.4
300171,2015,致淳信息,2015.7.31,26000000,65,支付现金,2015.7.31,已控制被购买方,0,-1364184.99
300171,2014,上海瑞派机械有限公司,2014.8.31,48950000,100,支付现金,2014.8.31,已控制被购买方,31659008.49,-2701218.5
300169,2014,江苏新光环保工程有限公司,2014.7.31,400000000,100,发行股份并支付现金,2014.7.31,控制权的转移,138823145.88,32183970.8
300168,2015,上海市民信箱信息服务有限公司,2015.10.15,51960225.81,61,现金购买,2015.10.31,实际取得控制权,1145908.21,93668.35
300168,2015,湖南凯歌医疗信息技术有限公司,2015.5.27,58000000,100,现金购买,2015.5.31,实际取得控制权,6658687.18,1932132.36
300167,2014,山东鸿昌通信工程,2014.7.1,29600000,51.03,收购,2014.7.1,完善业务体系,42702533.86,6297180.65
300167,2015,深圳市网新新思软件技术有限公司,2015.10.1,1162,55,收购,2015.10.1,取得控制权,25995919.86,1708792.52
300166,2014,上海屹通信息科技发展有限公司,2014.12.10,450800000,100,收购,2014.12.10,股权变更完成,N/A,N/A
300166,2015,北京炎黄新星网络科技有限公司,2015.9.25,312000000,100,收购,2015.7.9,股权变更完成,45203553.88,17910148.51
300166,2015,北京普泽创智数据技术有限公司,2015.2.3,23700000,100,收购,2015.2.3,股权变更完成,6755495,3690573.29
300166,2015,Cotopaxi Limited,2015.7.9,175995744.58,100,收购,2015.9.25,股权变更完成,12929555.37,918151.01
300165,2015,天瑞环境 ,2015.5.18,135000000,100,受让,2015.5.18,完成股权过户手续及法的工商变更手续,70940604.82,10220587.94
300164,2014,大庆市永晨石油科技有限公司,2014.7.24,187031250,45,股权收购并增资,2014.7.24,工商变更,122302943.34,36760405.91
300162,2015,深圳市拓享科技有限公司,2015.11.12,230000000,100,股份收购,2015.11.12,完成股权变更,32317238.87,5696993.05
300162,2014,深圳市康硕展电子有限公司,2014.6.12,52040000,51,受让及增资,2014.6.12,实际控制,64506932.7,12882779.14
300159,2015,四川明日宇航工业有限公司,2015.11.6,3639670000,100,购买,2015.11.6,股权已过户及款项支付,597674458.21,184910604.99
300157,2014,GEO-TECHSOLUTIONS(INTERNATIONAL)INC,2014.9.15,"12,151,500.00美元",51,购买,2014.9.15,工商变更登记,14265674.58,6174432.9
300157,2014,西安奥华电子仪器有限责任公司 ,2015.9.25,67377200,51,购买,22015.9.25,工商变更登记,29530427.73,14253536.12
300157,2015,RangeResourcesDrillingServicesLimited,2015.5.1,"4,370,000.00美元",100,N/A,2015.5.1,2014年12月29日，香港恒泰第二届董事会第三十次会议审议通过了《关于恒泰艾普石油集团有限公司拟收购RangeResourcesDrillingServicesLimited公司100%股权的议案》。2014年12月29日香港石油与RRDSL股东SOCA签订了股权转让协议。截止2015年12月31日，股权转让款已全部支付完毕，且于2015年5月完成了股权变更登记。,75320953.79,12176333.34
300157,2014,新疆德邦石油科技有限公司 ,2014.7.1,24000000,100,购买,2014.7.1,工商变更登记,19247940.8,4065222.51
300157,2015,库尔勒华鹏油田技术服务有限公司,2015.11.2,32640000,51,N/A,2015.11.2,"2015年8月17日，西安奥华股东会通过了以现金方式收购库尔勒华鹏51%股权的股东会决议。同日，西安奥华与库尔勒华鹏股东迟清彬签订股权转让协议，以人民币3,264.00万元收购自然人迟清彬持有的库尔勒华鹏51.00%的股权，并于2015年9月1日向迟清彬支付了50.00%的股权收购款1,632.00万元。双方于2015年11月2日完成股权交割手续，并完成了工商变更登记，",4679625.46,1123852.46
300157,2015,成都鼎鸿石油技术有限公司,2015.6.1,35000000,70,N/A,2015.6.1,2015年5月，欧美克与成都鼎鸿股东刘尚军及唐玄签订股权转让协议，以350.00万元收购刘尚军、唐玄持有的成都鼎鸿的合计70.00%的股权。刘尚军及唐玄于2015年5月与欧美克办理完股权交割手续，并完成了工商变更登记，欧美克于2015年5月支付了首笔股权转让款245.00万元。,2828778,205129.81
300153,2015,捷星新能源科技（苏州）有限公司,2014.7.28,20000000,25,增资,2015.3.31,取得控制权,N/A,N/A
300153,2015,捷星新能源科技（苏州）有限公司,2015.2.15,44000000,25,增资,2015.3.31,N/A,200111649.39,13805534.54
300152,2014,蓝天环保设备工程有限公司,2014.4.8,80850000,51.37,货币资金购买,2014.5.10,控制权转移,302172462.9,18295950.41
300152,2015,北京英诺格林科技有限公司,2015.4.14,87230000,51.31,货币资金购买,2015.5.31,对被并购企业经营和财务政策拥有决策权，已支付全部股权转让款，且工商登记变更已完成,113548580.19,17783581.08
300151,2015,上海力因,2015.6.26,67787500,79.75,现金,2015.6.26,控制权移交,20687770.66,2581125.19
300151,2015,上海高素,2015.11.11,6000000,60,现金,2015.11.11,控制权移交,6000852.98,2319780.49
300147,2015,广州梧桐富鑫投资管理有限公司,2015.11,150000,50,现金,2015.11,取得控制权,N/A,N/A
300145,2015,江苏金山环保科技有限公司,2015.11.1,1793798000,100,发行股份购买资产,2015.11.1,能够控制被购买方的财务、经营政策的控制权并从中获取利益,256206541.98,70204252.07
300145,2015,德清县东旭合金钢铸造有限公司,2015.9.30,4884270,51,股权受让,2015.9.30,能够控制被购买方的财务、经营政策的控制权并从中获取利益,3956016.49,387576.06
300144,2015,北京六间房科技有限公司  ,2016.7.31,"2,567,245,90",100,购买,2015.7.31,完成工商变更且款项支付完毕,369099362,93194053.96
300144,2014,杭州宋城本末映画文化创意有限公司,2014.6.18,2100000,60,购买,2014.6.18,完成工商变更,2232592.24,-460086.15
300144,2015,九寨沟县藏谜文化传播有限公司,2015.5.31,87000000,60,购买,2015.5.31,完成工商变更且款项支付完毕,7516460,1493644.1
300143,2015,玛西普医学科技发展(深圳)有限公司,2015.12.29,1125001072,100,企业合并,2015.12.31,资产完成交割,0,0
300142,2014,嘉和生物  ,2014.2.1,291283299,50.61,实缴出资,2014.2.1,工商变更,390100.34,-54434514.72
300142,2015,玉溪嘉和,2015.3.31,N/A,100,企业合并,2015.3.31,实际控制,N/A,-2570982.21
